H&E,ps,26-03-2025,J13,XYLENE-1,R2,0,26-03-2025 15:54:59.800,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:55:03.919,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:55:14.292,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:55:24.661,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:55:35.039,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:55:45.439,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:55:55.808,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:56:06.180,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:56:16.572,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:56:27.957,March,Device temperature ,440
H&E,ps,26-03-2025,J11,100 % Alcohol,R1,0,26-03-2025 15:56:43.593,March,Picked From,440
H&E,ps,26-03-2025,J10,70%Alcohol,R1,0,26-03-2025 15:56:50.019,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:56:54.556,March,Device temperature ,440
H&E,ps,26-03-2025,J13,XYLENE-1,R2,0,26-03-2025 15:57:06.852,March,Picked From,440
H&E,ps,26-03-2025,J12,XYLENE-2,R2,0,26-03-2025 15:57:13.274,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:57:17.447,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:57:27.827,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:57:38.391,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:57:48.775,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:57:59.158,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:58:09.531,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:58:19.907,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:58:30.267,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:58:41.751,March,Device temperature ,440
H&E,ps,26-03-2025,J10,70%Alcohol,R1,0,26-03-2025 15:58:56.867,March,Picked From,440
H&E,ps,26-03-2025,J9,95% Alcohol,R1,0,26-03-2025 15:59:04.295,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:59:07.950,March,Device temperature ,440
H&E,ps,26-03-2025,J12,XYLENE-2,R2,0,26-03-2025 15:59:21.965,March,Picked From,440
H&E,ps,26-03-2025,J11,100 % Alcohol,R2,0,26-03-2025 15:59:28.440,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:59:33.018,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:59:43.401,March,Device temperature ,440
H&E,ps,26-03-2025,,,R3,0,26-03-2025 15:59:43.718,March,Test Started,440
H&E,ps,26-03-2025,L3,Loading,R3,0,26-03-2025 15:59:54.704,March,Picked From,440
H&E,ps,26-03-2025,J13,XYLENE-1,R3,0,26-03-2025 16:00:06.634,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:00:10.969,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:00:21.337,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:00:31.742,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:00:42.123,March,Device temperature ,440
H&E,ps,26-03-2025,W1,Tap Water,--,0,26-03-2025 16:00:47.052,March,Water Valve : 1 is On,440
H&E,ps,26-03-2025,J9,95% Alcohol,R1,0,26-03-2025 16:01:13.134,March,Picked From,440
H&E,ps,26-03-2025,W1,Running TAP Water,R1,0,26-03-2025 16:01:19.600,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:01:24.196,March,Device temperature ,440
H&E,ps,26-03-2025,J11,100 % Alcohol,R2,0,26-03-2025 16:01:36.181,March,Picked From,440
H&E,ps,26-03-2025,J10,70%Alcohol,R2,0,26-03-2025 16:01:42.592,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:01:47.231,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:02:04.694,March,Device temperature ,440
H&E,ps,26-03-2025,J13,XYLENE-1,R3,0,26-03-2025 16:02:13.806,March,Picked From,440
H&E,ps,26-03-2025,J12,XYLENE-2,R3,0,26-03-2025 16:02:20.216,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:02:24.361,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:02:34.732,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:02:45.123,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:02:55.513,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:03:06.878,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:03:18.267,March,Device temperature ,440
H&E,ps,26-03-2025,W1,Tap Water,--,0,26-03-2025 16:03:20.265,March,Water Valve : 1 is Off,440
H&E,ps,26-03-2025,W1,Running TAP Water,R1,0,26-03-2025 16:03:28.190,March,Picked From,440
H&E,ps,26-03-2025,J8,Hematoxin,R1,0,26-03-2025 16:03:34.633,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:03:39.291,March,Device temperature ,440
H&E,ps,26-03-2025,J10,70%Alcohol,R2,0,26-03-2025 16:03:50.848,March,Picked From,440
H&E,ps,26-03-2025,J9,95% Alcohol,R2,0,26-03-2025 16:03:58.283,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:04:01.368,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:04:19.746,March,Device temperature ,440
H&E,ps,26-03-2025,J12,XYLENE-2,R3,0,26-03-2025 16:04:28.860,March,Picked From,440
H&E,ps,26-03-2025,J11,100 % Alcohol,R3,0,26-03-2025 16:04:35.266,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:04:39.879,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:04:50.344,March,Device temperature ,440
H&E,ps,26-03-2025,L1,-,-,0,26-03-2025 16:05:04.258,March,Liquid Level - 953,440
H&E,ps,26-03-2025,L2,-,-,0,26-03-2025 16:05:07.114,March,Liquid Level - 951,440
H&E,ps,26-03-2025,L3,-,-,0,26-03-2025 16:05:09.983,March,Liquid Level - 953,440
H&E,ps,26-03-2025,-,-,-,0,26-03-2025 16:05:10.591,March,Home Reached,440
H&E,ps,26-03-2025,-,-,-,0,26-03-2025 16:05:12.505,March,Home Reached,440
H&E,ps,26-03-2025,,,R4,0,26-03-2025 16:05:13.746,March,Test Started,440
H&E,ps,26-03-2025,L1,Loading,R4,0,26-03-2025 16:05:25.211,March,Picked From,440
H&E,ps,26-03-2025,J13,XYLENE-1,R4,0,26-03-2025 16:05:36.193,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 16:05:40.867,March,Device temperature ,440
H&E,ps,26-03-2025,W1,Tap Water,--,0,26-03-2025 16:05:41.266,March,Water Valve : 1 is On,440
