Command Sent SET TEMPERATURE - #0,10,32*870a  * 21-03-2025 15:11:17.647
CRC-Response  - 0,10,F000*1ae9 * 21-03-2025 15:11:17.862
Command Sent HEATER ON - #1,12,1*dbe7  * 21-03-2025 15:11:19.43
CRC-Response  - 1,12,F000*68e5 * 21-03-2025 15:11:19.161
Command Sent HEATER DOOR CLOSE - #2,8,1,0*21eb  * 21-03-2025 15:11:19.831
CRC-Response  - 2,8,I001*fd79 * 21-03-2025 15:11:20.277
CRC-Response  - 2,8,F000*29bb * 21-03-2025 15:11:20.280
Command Sent READ TEMPERATURE - #3,11*ed1a  * 21-03-2025 15:11:20.947
CRC-Response  - 3,11,F000,50*d48f * 21-03-2025 15:11:21.54
Command Sent WATER VALVE - 1 CONTROL OFF - #4,13,1,0*80ea  * 21-03-2025 15:11:31.227
CRC-Response  - 4,13,F000*e9db * 21-03-2025 15:11:31.333
Command Sent WATER VALVE - 2 CONTROL OFF - #5,13,2,0*4cdb  * 21-03-2025 15:11:32.17
CRC-Response  - 5,13,F000*79d6 * 21-03-2025 15:11:32.133
Command Sent WATER VALVE - 3 CONTROL OFF - #6,13,3,0*99ca  * 21-03-2025 15:11:32.792
CRC-Response  - 6,13,F000*89c2 * 21-03-2025 15:11:32.899
Command Sent WATER VALVE - 4 CONTROL OFF - #7,13,4,0*94ba  * 21-03-2025 15:11:33.558
CRC-Response  - 7,13,F000*19cf * 21-03-2025 15:11:33.666
Command Sent WATER VALVE - 5 CONTROL OFF - #8,13,5,0*14ab  * 21-03-2025 15:11:34.335
CRC-Response  - 8,13,F000*e98e * 21-03-2025 15:11:34.441
Command Sent WATER VALVE - 6 CONTROL OFF - #9,13,6,0*d89a  * 21-03-2025 15:11:35.112
CRC-Response  - 9,13,F000*7983 * 21-03-2025 15:11:35.217
Command Sent HEATER OFF - #10,12,0*121c  * 21-03-2025 15:11:35.893
CRC-Response  - 10,12,F000*35c3 * 21-03-2025 15:11:36.10
Command Sent READ TEMPERATURE - #11,5,01111111*e264  * 21-03-2025 15:12:47.443
CRC-Response  - 11,5,I001,01111111*59be * 21-03-2025 15:13:00.805
User Aborted / Stopped the application forcefully  * 21-03-2025 15:13:44.311
Command Sent SET TEMPERATURE - #0,10,32*870a  * 21-03-2025 15:19:10.708
CRC-Response  - 0,10,F000*1ae9 * 21-03-2025 15:19:10.858
Command Sent HEATER ON - #1,12,1*dbe7  * 21-03-2025 15:19:12.48
CRC-Response  - 1,12,F000*68e5 * 21-03-2025 15:19:12.167
Command Sent HEATER DOOR CLOSE - #2,8,1,0*21eb  * 21-03-2025 15:19:12.838
CRC-Response  - 2,8,I001*fd79 * 21-03-2025 15:19:13.281
CRC-Response  - 2,8,F000*29bb * 21-03-2025 15:19:13.286
Command Sent READ TEMPERATURE - #3,11*ed1a  * 21-03-2025 15:19:13.969
CRC-Response  - 3,11,F000,447*d55f * 21-03-2025 15:19:14.89
Command Sent WATER VALVE - 1 CONTROL OFF - #4,13,1,0*80ea  * 21-03-2025 15:19:24.263
CRC-Response  - 4,13,F000*e9db * 21-03-2025 15:19:24.386
Command Sent WATER VALVE - 2 CONTROL OFF - #5,13,2,0*4cdb  * 21-03-2025 15:19:25.37
CRC-Response  - 5,13,F000*79d6 * 21-03-2025 15:19:25.155
Command Sent WATER VALVE - 3 CONTROL OFF - #6,13,3,0*99ca  * 21-03-2025 15:19:25.837
CRC-Response  - 6,13,F000*89c2 * 21-03-2025 15:19:25.944
Command Sent WATER VALVE - 4 CONTROL OFF - #7,13,4,0*94ba  * 21-03-2025 15:19:26.610
CRC-Response  - 7,13,F000*19cf * 21-03-2025 15:19:26.728
Command Sent WATER VALVE - 5 CONTROL OFF - #8,13,5,0*14ab  * 21-03-2025 15:19:27.383
CRC-Response  - 8,13,F000*e98e * 21-03-2025 15:19:27.502
Command Sent WATER VALVE - 6 CONTROL OFF - #9,13,6,0*d89a  * 21-03-2025 15:19:28.170
CRC-Response  - 9,13,F000*7983 * 21-03-2025 15:19:28.276
Command Sent HEATER OFF - #10,12,0*121c  * 21-03-2025 15:19:28.946
CRC-Response  - 10,12,F000*35c3 * 21-03-2025 15:19:29.62
Command Sent Home Command - #11,5,01111111*e264  * 21-03-2025 15:19:29.750
CRC-Response  - 11,5,I001,01111111*59be * 21-03-2025 15:19:43.95
CRC-Response  - 11,5,F000*4be9 * 21-03-2025 15:19:43.98
Command Sent Home Command - #12,5,01111111*e660  * 21-03-2025 15:19:45.431
CRC-Response  - 12,5,I001,01111111*a94e * 21-03-2025 15:19:58.785
CRC-Response  - 12,5,F000*5ea9 * 21-03-2025 15:19:58.788
Command Sent Level Sensing For L1 - #13,4,17564,16380,0,0*94b5  * 21-03-2025 15:20:00.116
CRC-Response  - 13,4,I001*97ab * 21-03-2025 15:20:04.313
CRC-Response  - 13,4,F000,797*9006 * 21-03-2025 15:20:04.317
L1 Value - 200 * 21-03-2025 15:20:04.343
Command Sent Level Sensing For L2 - #14,4,13934,16380,0,0*e418  * 21-03-2025 15:20:04.983
CRC-Response  - 14,4,I001*71ea * 21-03-2025 15:20:07.381
CRC-Response  - 14,4,F000,798*5fb3 * 21-03-2025 15:20:07.385
L2 Value - 200 * 21-03-2025 15:20:07.406
Command Sent Level Sensing For L3 - #15,4,10304,16380,0,0*153a  * 21-03-2025 15:20:08.48
CRC-Response  - 15,4,I001*bd2b * 21-03-2025 15:20:10.466
CRC-Response  - 15,4,F000,788*0c4f * 21-03-2025 15:20:10.476
L3 Value - 200 * 21-03-2025 15:20:10.497
Command Sent Home Command - #16,5,01111111*2991  * 21-03-2025 15:20:11.147
CRC-Response  - 16,5,I001,01111111*680c * 21-03-2025 15:20:24.502
CRC-Response  - 16,5,F000*ada8 * 21-03-2025 15:20:24.505
Command Sent Home Command - #17,5,01111111*ea6c  * 21-03-2025 15:20:25.851
CRC-Response  - 17,5,I001,01111111*f85d * 21-03-2025 15:20:39.202
CRC-Response  - 17,5,F000*6169 * 21-03-2025 15:20:39.206
Rack - 1Protocol Started * 21-03-2025 15:20:40.103
Command Sent Rack-1 Picked from L1 - #18,2,1,17564,16380,0,0*c654  * 21-03-2025 15:20:40.335
CRC-Response  - 18,2,I001,1*4512 * 21-03-2025 15:20:46.461
CRC-Response  - 18,2,F000,1*7a43 * 21-03-2025 15:20:46.464
RA Picked Rack From L1 * 21-03-2025 15:20:46.470
Command Sent Rack-1 Placed in H1 - #19,3,1,2688,1000,0,1*0ed4  * 21-03-2025 15:20:47.34
CRC-Response  - 19,3,I001,1*4c82 * 21-03-2025 15:20:54.7
CRC-Response  - 19,3,F000,1*73d3 * 21-03-2025 15:20:54.10
RA Placed Rack in H1 * 21-03-2025 15:20:54.15
Command Sent HEATER ON - #20,12,1*d2ee  * 21-03-2025 15:20:54.248
CRC-Response  - 20,12,F000*3a33 * 21-03-2025 15:20:54.363
Command Sent HEATER DOOR CLOSE - #21,8,1,0*e701  * 21-03-2025 15:20:55.46
CRC-Response  - 21,8,I001*723e * 21-03-2025 15:20:55.492
CRC-Response  - 21,8,F000*a6fc * 21-03-2025 15:20:55.511
Command Sent READ TEMPERATURE - #22,11*f106  * 21-03-2025 15:20:56.151
CRC-Response  - 22,11,F000,50*4d16 * 21-03-2025 15:20:56.269
Command Sent READ TEMPERATURE - #23,11*0d07  * 21-03-2025 15:21:06.432
CRC-Response  - 23,11,F000,50*cc14 * 21-03-2025 15:21:06.549
Command Sent READ TEMPERATURE - #24,11*7906  * 21-03-2025 15:21:16.709
CRC-Response  - 24,11,F000,50*8b1f * 21-03-2025 15:21:16.826
Command Sent READ TEMPERATURE - #25,11*8507  * 21-03-2025 15:21:25.215
CRC-Response  - 25,11,F000,447*0bcd * 21-03-2025 15:21:25.327
Command Sent READ TEMPERATURE - #26,11*c107  * 21-03-2025 15:21:26.983
CRC-Response  - 26,11,F000,50*c918 * 21-03-2025 15:21:27.89
